date,hh,mm,statistic,depth,temp_surface,salinity_surface,pH_surface,temp_bottom,salinity_bottom,pH_bottom,nitrate,nitrite,ammonia
6/4/15,,,Stdv,9.41,1.04,5.68,0.15,1.08,0.82,0.13,0.46,0.0007,0.02
6/4/15,,,Min,59,25.86,18.86,7.56,25.86,30.48,7.82,0,0,0
6/4/15,,,Max,86,28.58,33.08,8.03,28.63,33.04,8.25,1.14,0.002,0.05
6/4/15,,,N,9,9,9,9,9,9,9,9,9,9
6/10/15,13,0,Mean,61.9,28.49,26.62,7.79,28.95,30.32,7.84,0.5,0.0024,0.01
6/10/15,13,0,Stdv,6.77,0.74,7.33,0.14,0.35,3.12,0.11,0.47,0.0046,0.02
6/10/15,13,0,Min,55,27.29,10.61,7.42,28.4,25.75,7.57,0,0,0
6/10/15,13,0,Max,77,29.38,34.42,7.88,29.43,34.43,7.99,1.68,0.014,0.07
6/10/15,13,0,N,10,10,10,10,10,10,10,10,9,10
6/17/15,13,30,Mean,62.78,28.11,29.81,7.83,28.15,32.04,7.87,0.95,0.0024,0.03
6/17/15,13,30,Stdv,12.22,0.58,5.1,0.11,0.63,1.98,0.05,0.33,0.0035,0.02
6/17/15,13,30,Min,43,27.24,17.84,7.57,27.26,28.92,7.76,0.37,0,0
6/17/15,13,30,Max,83,28.91,34.15,7.96,28.94,34.11,7.94,1.3,0.009,0.07
6/17/15,13,30,N,9,9,9,9,9,9,9,9,9,9
6/23/15,,,Mean,56.22,26.27,28.61,7.78,26.61,29.3,7.8,0.43,0.0017,0
6/23/15,,,Stdv,6.5,0.54,4.28,0.06,0.28,3.26,0.04,0.48,0.0019,0
6/23/15,,,Min,48,25.24,21.9,7.7,26.3,25.96,7.75,0,0,0
6/23/15,,,Max,68,26.96,34.16,7.87,27.11,34.16,7.87,1.05,0.005,0
6/23/15,,,N,9,9,9,9,9,9,9,9,9,8
6/25/15,,,Mean,70.33,27.08,27.25,7.86,27.71,30.49,7.9,0.82,0.002,0.01
6/25/15,,,Stdv,8.87,0.54,5.51,0.12,0.38,2.93,0.08,0.14,0.0027,0.02
6/25/15,,,Min,61,26.11,17.87,7.59,27.23,25.67,7.73,0.59,0,0
6/25/15,,,Max,92,27.71,34.36,7.96,28.25,34.3,7.98,1.03,0.008,0.05
6/25/15,,,N,9,9,9,9,9,9,9,9,9,9
7/1/15,14,30,Mean,92.8,32.94,32.32,7.94,31.47,34.43,7.94,1.03,0.0012,0
7/1/15,14,30,Stdv,9.68,2.31,3.67,0.05,1.75,0.38,0.02,0.26,0.0019,0
7/1/15,14,30,Min,72,29.36,22.34,7.83,29.32,33.72,7.9,0.67,0,0
7/1/15,14,30,Max,102,35.57,34.75,8.01,34.75,34.97,7.98,1.45,0.005,0
7/1/15,14,30,N,10,10,10,10,10,10,10,10,10,10
7/7/15,16,30,Mean,58.8,30.73,28.9,8.17,31.05,30.49,8.19,0.09,0.0234,0
7/7/15,16,30,Stdv,12.41,1.05,5.7,0.17,0.75,2.88,0.13,0.15,0.0691,0.01
7/7/15,16,30,Min,45,28.44,14.7,7.89,29.46,25.71,8.03,0,0,0
7/7/15,16,30,Max,81,31.65,34.98,8.41,31.83,34.98,8.41,0.42,0.22,0.02
7/7/15,16,30,N,10,10,10,10,10,10,10,10,10,10
7/23/15,12,0,Mean,50.89,27.56,25.03,7.79,28.06,29.51,7.9,0.26,0,0.01
7/23/15,12,0,Stdv,8.13,0.71,9.54,0.21,0.41,3.37,0.13,0.26,0,0.02
7/23/15,12,0,Min,39,26.07,7.87,7.38,27.54,24.18,7.59,0,0,0
7/23/15,12,0,Max,65,28.38,34.11,7.98,28.78,34.13,8.05,0.67,0,0.05
7/23/15,12,0,N,9,9,9,9,9,9,9,9,9,9
